Index,Potential,Current,Frequency,Zreal,Zimag,CR,Status
1,-0.499905,-0.000050,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
2,-0.449717,-0.000045,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
3,-0.399529,-0.000040,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
4,-0.349340,-0.000035,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
5,-0.299152,-0.000030,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
6,-0.248964,-0.000025,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
7,-0.198776,-0.000020,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
8,-0.148588,-0.000015,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
9,-0.098400,-0.000010,0.000000,1.#INF00,1.#INF00,1mA (High speed),Underload
10,-0.048212,-0.000005,0.000000,1.#INF00,1.#INF00,1mA (High speed),Underload
11,0.001976,0.000000,0.000000,1.#INF00,1.#INF00,1mA (High speed),Underload
12,0.052164,0.000005,0.000000,1.#INF00,1.#INF00,1mA (High speed),Underload
13,0.102352,0.000010,0.000000,1.#INF00,1.#INF00,1mA (High speed),Underload
14,0.152540,0.000015,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
15,0.202728,0.000020,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
16,0.252916,0.000025,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
17,0.303104,0.000030,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
18,0.353292,0.000035,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
19,0.403480,0.000040,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
20,0.453668,0.000045,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
21,0.503857,0.000050,0.000000,1.#INF00,1.#INF00,1mA (High speed),OK
