Index,Potential,Current,Frequency,Zreal,Zimag,CR,Status
1,0.000000,0.000000,200000.000000,9834.750000,828.492981,100uA (High speed),OK
2,0.000000,0.000000,171794.000000,9874.899414,691.796997,100uA (High speed),OK
3,0.000000,0.000000,147566.000000,9909.063477,591.434021,100uA (High speed),OK
4,0.000000,0.000000,126755.882813,9936.108398,503.296997,100uA (High speed),OK
5,0.000000,0.000000,108879.843750,9939.965820,434.669006,100uA (High speed),OK
6,0.000000,0.000000,93524.812500,9955.859375,376.826996,100uA (High speed),OK
7,0.000000,0.000000,80335.273438,9973.094727,318.569000,100uA (High speed),OK
8,0.000000,0.000000,69005.804688,9796.674805,294.096985,100uA (High speed),OK
9,0.000000,0.000000,59274.109375,9839.276367,247.763000,100uA (High speed),OK
10,0.000000,0.000000,50914.843750,9880.201172,197.740997,100uA (High speed),OK
11,0.000000,0.000000,43734.460938,9907.779297,176.057007,100uA (High speed),OK
12,0.000000,0.000000,37566.710938,9933.735352,142.354996,100uA (High speed),OK
13,0.000000,0.000000,32268.779297,9950.099609,123.126289,100uA (High speed),OK
14,0.000000,0.000000,27718.000000,9963.000000,102.356041,100uA (High speed),OK
15,0.000000,0.000000,23809.007813,9970.852539,88.187645,100uA (High speed),OK
16,0.000000,0.000000,20451.287109,9978.541016,74.033501,100uA (High speed),OK
17,0.000000,0.000000,17567.099609,9986.232422,66.284370,100uA (High speed),OK
18,0.000000,0.000000,15089.659180,9984.784180,46.582958,100uA (High speed),OK
19,0.000000,0.000000,12961.605469,9985.231445,52.281853,100uA (High speed),OK
20,0.000000,0.000000,11133.666016,9989.921875,42.190315,100uA (High speed),OK
21,0.000000,0.000000,9563.514648,9991.958008,40.040451,100uA (High speed),OK
22,0.000000,0.000000,8214.797852,9994.848633,34.644939,100uA (High speed),OK
23,0.000000,0.000000,7056.288086,9998.911133,24.245575,100uA (High speed),OK
24,0.000000,0.000000,6061.159180,10000.536133,23.575706,100uA (High speed),OK
25,0.000000,0.000000,5206.370117,9996.893555,13.891717,100uA (High speed),OK
26,0.000000,0.000000,4472.129883,9998.643555,13.190602,100uA (High speed),OK
27,0.000000,0.000000,3841.437012,9993.533203,8.968305,100uA (High speed),OK
28,0.000000,0.000000,3299.689941,9997.132813,10.932253,100uA (High speed),OK
29,0.000000,0.000000,2834.343018,9997.328125,11.616537,100uA (High speed),OK
30,0.000000,0.000000,2434.624023,9994.385742,9.260623,100uA (High speed),OK
31,0.000000,0.000000,2091.274902,10001.781250,8.532331,100uA (High speed),OK
32,0.000000,0.000000,1796.348022,9996.593750,0.529252,100uA (High speed),OK
33,0.000000,0.000000,1543.014038,9996.762695,-5.038887,100uA (High speed),OK
34,0.000000,0.000000,1325.406982,9999.130859,5.647694,100uA (High speed),OK
35,0.000000,0.000000,1138.489014,10013.081055,3.230383,100uA (High speed),OK
36,0.000000,0.000000,977.931030,9996.308594,-0.098573,100uA (High speed),OK
37,0.000000,0.000000,840.015991,9997.584961,8.425501,100uA (High speed),OK
38,0.000000,0.000000,721.549988,10000.635742,5.574159,100uA (High speed),OK
39,0.000000,0.000000,619.791992,9993.012695,-2.139100,100uA (High speed),OK
40,0.000000,0.000000,532.383972,9990.745117,11.934067,100uA (High speed),OK
41,0.000000,0.000000,457.303986,9992.321289,9.582867,100uA (High speed),OK
42,0.000000,0.000000,392.811005,10007.935547,3.523622,100uA (High speed),OK
43,0.000000,0.000000,337.414001,10005.833008,0.481679,100uA (High speed),OK
44,0.000000,0.000000,289.829010,10005.280273,-6.077162,100uA (High speed),OK
45,0.000000,0.000000,248.955994,9986.765625,2.353034,100uA (High speed),OK
46,0.000000,0.000000,213.845993,10006.402344,3.792352,100uA (High speed),OK
47,0.000000,0.000000,183.688004,9997.494141,11.968536,100uA (High speed),OK
48,0.000000,0.000000,157.783005,10001.331055,4.354393,100uA (High speed),OK
49,0.000000,0.000000,135.531006,9998.676758,-17.119448,100uA (High speed),OK
50,0.000000,0.000000,116.417816,9986.083984,-0.764993,100uA (High speed),OK
51,0.000000,0.000000,99.999725,9995.721680,3.088736,100uA (High speed),OK
